,Label,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
23,2018-03-16-01,155133,2883.986,3035.865,458.686,430.625,8.622,0.842,1.065,0.939,0.99
24,2018-03-16-01,155034,3818.953,3036.418,456.97,431.965,3.822,0.882,1.058,0.945,0.994
25,2018-03-16-01,159192,5712.657,3039.846,463.893,436.932,171.813,0.873,1.062,0.942,0.993
26,2018-03-16-01,153583,4763.054,3037.665,456.615,428.256,1.705,0.881,1.066,0.938,0.994
27,2018-03-16-01,152776,546.425,3842.777,448.572,433.644,17.417,0.869,1.034,0.967,0.993
28,2018-03-16-01,155992,1479.933,3845.166,455.424,436.111,3.256,0.869,1.044,0.958,0.993
29,2018-03-16-01,159480,5241.148,3853.253,466.654,435.132,177.077,0.867,1.072,0.932,0.993
30,2018-03-16-01,157535,6183.972,3854.737,462.241,433.929,170.153,0.88,1.065,0.939,0.994
31,2018-03-16-01,150500,2420.032,3848.67,465.283,411.841,9.421,0.671,1.13,0.885,0.977
32,2018-03-16-01,151617,3351.384,3852.698,460.2,419.48,4.929,0.875,1.097,0.912,0.994
33,2018-03-16-01,152763,4293.48,3852.236,464.299,418.919,3.019,0.869,1.108,0.902,0.994
34,2018-03-16-01,156010,1012.281,4656.114,452.912,438.58,9.875,0.872,1.033,0.968,0.992
35,2018-03-16-01,156905,1947.641,4660.46,460.098,434.206,3.879,0.875,1.06,0.944,0.993
36,2018-03-16-01,154664,4764.917,4665.011,459.804,428.279,5.052,0.865,1.074,0.931,0.992
37,2018-03-16-01,158583,5712.711,4667.154,463.59,435.544,176.141,0.87,1.064,0.94,0.993
38,2018-03-16-01,154304,3820.577,4663.79,461.195,425.993,4.519,0.869,1.083,0.924,0.994
39,2018-03-16-01,154938,2884.494,4663.934,468.381,421.181,4.012,0.866,1.112,0.899,0.992
40,2018-03-16-01,152457,545.177,5468.779,448.578,432.733,22.573,0.872,1.037,0.965,0.994
41,2018-03-16-01,155899,1479.368,5471.46,457.409,433.959,4.433,0.871,1.054,0.949,0.993
42,2018-03-16-01,158283,2416.222,5472.645,465.285,433.137,2.28,0.872,1.074,0.931,0.993
43,2018-03-16-01,157148,4292.96,5475.132,463.293,431.88,1.627,0.882,1.073,0.932,0.994
44,2018-03-16-01,157401,6182.849,5479.011,460.064,435.611,170.18,0.867,1.056,0.947,0.993
45,2018-03-16-01,154818,3351.508,5475.236,462.885,425.852,6.856,0.877,1.087,0.92,0.994
46,2018-03-16-01,155300,5241.412,5482.801,465.343,424.921,0.684,0.859,1.095,0.913,0.991
