 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,scanner_image_03,105107,5231.521,594.375,372.361,359.400,33.138,0.796,1.036,0.965,0.976
2,scanner_image_03,92542,3331.844,598.246,361.987,325.504,43.172,0.801,1.112,0.899,0.972
3,scanner_image_03,46068,4290.545,573.179,245.042,239.370,142.409,0.735,1.024,0.977,0.955
4,scanner_image_03,53968,539.030,626.689,312.878,219.620,91.614,0.632,1.425,0.702,0.918
5,scanner_image_03,33321,1465.286,581.785,218.135,194.492,74.361,0.847,1.122,0.892,0.984
6,scanner_image_03,11320,2458.533,592.564,154.175,93.485,68.729,0.533,1.649,0.606,0.882
7,scanner_image_03,21484,6151.703,606.936,175.056,156.260,38.934,0.643,1.120,0.893,0.934
8,scanner_image_03,117403,3818.872,1406.501,394.532,378.885,2.383,0.850,1.041,0.960,0.989
9,scanner_image_03,105954,1939.617,1416.249,382.897,352.327,148.339,0.841,1.087,0.920,0.985
10,scanner_image_03,89805,5690.832,1417.784,364.891,313.363,158.375,0.757,1.164,0.859,0.976
11,scanner_image_03,54391,2827.385,1413.147,279.593,247.691,151.264,0.595,1.129,0.886,0.909
12,scanner_image_03,20191,4732.958,1413.663,175.967,146.095,94.856,0.745,1.204,0.830,0.952
13,scanner_image_03,16171,1095.046,1426.991,157.778,130.497,55.281,0.654,1.209,0.827,0.937
14,scanner_image_03,85482,557.679,2216.953,356.123,305.622,152.179,0.728,1.165,0.858,0.963
15,scanner_image_03,71621,2412.726,2223.262,353.993,257.606,27.395,0.791,1.374,0.728,0.978
16,scanner_image_03,53013,1469.191,2209.941,267.292,252.527,83.225,0.761,1.058,0.945,0.963
17,scanner_image_03,29230,5234.145,2225.634,221.767,167.819,84.357,0.600,1.321,0.757,0.912
18,scanner_image_03,52940,6164.907,2237.795,283.459,237.796,156.003,0.710,1.192,0.839,0.952
19,scanner_image_03,23331,3356.432,2208.100,187.617,158.333,179.788,0.771,1.185,0.844,0.959
20,scanner_image_03,103241,2871.845,3008.396,370.724,354.578,11.046,0.727,1.046,0.956,0.956
21,scanner_image_03,99232,4748.897,3021.601,371.450,340.143,145.155,0.671,1.092,0.916,0.927
22,scanner_image_03,62453,3821.414,3023.930,300.784,264.368,35.091,0.593,1.138,0.879,0.915
23,scanner_image_03,79169,1027.162,3030.294,331.895,303.714,2.064,0.724,1.093,0.915,0.951
24,scanner_image_03,79629,5706.160,3036.709,334.758,302.866,14.563,0.792,1.105,0.905,0.977
25,scanner_image_03,83535,1485.080,3826.825,347.288,306.259,62.676,0.760,1.134,0.882,0.967
