 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,2018-03-14-04,128270,2413.91,587.95,404.23,404.02,81.37,0.90,1.00,1.00,0.99
2,2018-03-14-04,128482,3343.04,587.84,404.71,404.21,9.73,0.90,1.00,1.00,1.00
3,2018-03-14-04,128508,541.89,588.83,404.59,404.42,9.61,0.90,1.00,1.00,1.00
4,2018-03-14-04,128470,1476.80,588.81,404.47,404.41,149.65,0.90,1.00,1.00,1.00
5,2018-03-14-04,127723,5223.49,589.05,405.27,401.27,152.44,0.77,1.01,0.99,0.99
6,2018-03-14-04,126846,6158.83,590.13,403.43,400.33,83.93,0.88,1.01,0.99,0.99
7,2018-03-14-04,126589,4283.01,590.07,405.43,397.54,5.24,0.89,1.02,0.98,0.99
8,2018-03-14-04,128439,1014.44,1396.82,404.58,404.20,162.01,0.90,1.00,1.00,1.00
9,2018-03-14-04,128071,1940.83,1398.36,405.27,402.36,160.28,0.90,1.01,0.99,1.00
10,2018-03-14-04,127945,2875.51,1398.42,404.75,402.48,179.09,0.90,1.01,0.99,0.99
11,2018-03-14-04,128346,3811.00,1400.80,404.46,404.04,9.12,0.90,1.00,1.00,1.00
12,2018-03-14-04,128560,4760.20,1402.64,404.76,404.41,82.19,0.90,1.00,1.00,1.00
13,2018-03-14-04,128461,5694.62,1402.74,404.58,404.28,18.98,0.90,1.00,1.00,1.00
14,2018-03-14-04,128456,547.02,2208.95,404.50,404.34,167.20,0.90,1.00,1.00,1.00
15,2018-03-14-04,128417,2412.70,2208.94,404.50,404.21,29.60,0.90,1.00,1.00,1.00
16,2018-03-14-04,128200,1476.58,2210.26,404.81,403.22,149.90,0.90,1.00,1.00,0.99
17,2018-03-14-04,128409,3343.07,2209.82,404.56,404.13,7.19,0.90,1.00,1.00,1.00
18,2018-03-14-04,127999,4286.24,2212.51,404.31,403.09,29.39,0.90,1.00,1.00,0.99
19,2018-03-14-04,127589,5223.67,2215.38,405.31,400.81,33.03,0.90,1.01,0.99,0.99
20,2018-03-14-04,128496,6172.93,2214.32,404.66,404.30,29.10,0.90,1.00,1.00,1.00
21,2018-03-14-04,128205,3813.41,3021.57,404.74,403.31,20.58,0.89,1.00,1.00,0.99
22,2018-03-14-04,128611,1003.21,3024.21,404.83,404.50,178.63,0.90,1.00,1.00,1.00
23,2018-03-14-04,127734,1942.70,3025.13,404.82,401.75,178.25,0.90,1.01,0.99,0.99
24,2018-03-14-04,127626,2879.66,3025.10,404.61,401.62,28.05,0.90,1.01,0.99,0.99
25,2018-03-14-04,128279,4761.90,3026.41,404.98,403.30,13.63,0.90,1.00,1.00,0.99
26,2018-03-14-04,127916,5701.95,3026.68,405.30,401.85,51.83,0.90,1.01,0.99,0.99
27,2018-03-14-04,128522,540.24,3835.28,404.72,404.33,164.15,0.90,1.00,1.00,1.00
28,2018-03-14-04,128440,3345.86,3836.21,404.54,404.25,161.90,0.90,1.00,1.00,1.00
29,2018-03-14-04,128568,1476.88,3837.70,404.65,404.54,144.40,0.90,1.00,1.00,1.00
30,2018-03-14-04,128507,2414.67,3837.73,404.69,404.31,29.69,0.90,1.00,1.00,0.99
31,2018-03-14-04,128243,4290.17,3838.61,404.42,403.75,58.29,0.90,1.00,1.00,1.00
32,2018-03-14-04,128542,5232.78,3843.64,404.68,404.43,134.73,0.90,1.00,1.00,1.00
33,2018-03-14-04,128242,6173.16,3843.95,404.70,403.47,32.59,0.90,1.00,1.00,1.00
34,2018-03-14-04,128515,1004.11,4648.44,404.72,404.31,172.87,0.90,1.00,1.00,1.00
35,2018-03-14-04,128249,1943.92,4649.27,404.80,403.39,161.56,0.90,1.00,1.00,1.00
36,2018-03-14-04,128491,2878.88,4649.37,404.69,404.26,63.86,0.90,1.00,1.00,0.99
37,2018-03-14-04,128237,3815.82,4651.73,404.36,403.79,169.09,0.90,1.00,1.00,0.99
38,2018-03-14-04,127741,4757.87,4657.00,405.06,401.53,20.63,0.90,1.01,0.99,0.99
39,2018-03-14-04,128422,5703.13,4656.26,404.69,404.04,136.55,0.90,1.00,1.00,0.99
40,2018-03-14-04,128471,546.73,5460.10,404.62,404.26,162.14,0.90,1.00,1.00,1.00
41,2018-03-14-04,128102,1477.33,5461.47,404.83,402.90,150.69,0.90,1.00,1.00,0.99
42,2018-03-14-04,128266,2415.20,5462.92,404.54,403.70,162.71,0.90,1.00,1.00,1.00
43,2018-03-14-04,127807,3350.66,5463.91,405.07,401.73,177.14,0.90,1.01,0.99,0.99
44,2018-03-14-04,128273,4292.40,5466.16,404.41,403.86,111.39,0.90,1.00,1.00,0.99
45,2018-03-14-04,127861,5230.17,5467.75,404.94,402.03,26.66,0.90,1.01,0.99,0.99
46,2018-03-14-04,128475,6169.86,5467.07,404.60,404.29,23.22,0.90,1.00,1.00,1.00
47,2018-03-14-04,128604,1005.16,6276.71,404.85,404.45,177.56,0.90,1.00,1.00,1.00
48,2018-03-14-04,128365,1943.79,6277.67,404.59,403.97,92.82,0.90,1.00,1.00,1.00
49,2018-03-14-04,128460,2879.10,6276.70,404.70,404.15,24.56,0.90,1.00,1.00,1.00
50,2018-03-14-04,128115,5701.54,6276.99,404.81,402.96,27.42,0.90,1.00,1.00,0.99
51,2018-03-14-04,128693,3817.34,6278.61,404.87,404.71,33.51,0.90,1.00,1.00,1.00
52,2018-03-14-04,128366,4760.71,6279.69,404.49,404.06,1.70,0.90,1.00,1.00,1.00
53,2018-03-14-04,128243,543.30,7083.57,404.73,403.44,155.39,0.90,1.00,1.00,0.99
54,2018-03-14-04,128437,1476.99,7084.37,404.65,404.12,143.32,0.90,1.00,1.00,1.00
55,2018-03-14-04,128327,2415.08,7084.29,404.35,404.08,128.84,0.90,1.00,1.00,1.00
56,2018-03-14-04,128435,3349.96,7086.36,404.57,404.21,141.33,0.90,1.00,1.00,1.00
57,2018-03-14-04,128254,4294.87,7091.65,404.62,403.59,10.01,0.90,1.00,1.00,0.99
58,2018-03-14-04,128327,5229.39,7092.46,404.54,403.89,35.75,0.90,1.00,1.00,1.00
59,2018-03-14-04,128490,6175.93,7095.69,404.56,404.38,143.00,0.90,1.00,1.00,1.00
60,2018-03-14-04,128394,1012.92,7897.48,404.49,404.16,149.08,0.90,1.00,1.00,1.00
61,2018-03-14-04,128252,1946.74,7900.62,404.63,403.57,152.95,0.90,1.00,1.00,1.00
62,2018-03-14-04,128406,3820.28,7902.50,404.49,404.19,38.72,0.90,1.00,1.00,1.00
63,2018-03-14-04,128275,5701.23,7902.25,404.81,403.46,39.24,0.90,1.00,1.00,0.99
64,2018-03-14-04,127612,4759.03,7903.36,405.04,401.14,17.80,0.90,1.01,0.99,0.99
65,2018-03-14-04,127699,2878.89,7903.60,405.44,401.03,174.29,0.89,1.01,0.99,0.99
66,2018-03-14-04,128520,543.76,8708.25,404.74,404.30,149.44,0.90,1.00,1.00,1.00
67,2018-03-14-04,128230,1477.07,8709.58,405.12,403.01,149.45,0.90,1.01,0.99,0.99
68,2018-03-14-04,128544,2409.19,8710.16,404.59,404.53,149.70,0.90,1.00,1.00,1.00
69,2018-03-14-04,128294,3350.89,8713.41,404.56,403.77,5.72,0.90,1.00,1.00,1.00
70,2018-03-14-04,128512,6175.30,8716.24,404.81,404.20,28.42,0.90,1.00,1.00,1.00
71,2018-03-14-04,128511,4291.40,8717.17,404.58,404.44,21.67,0.90,1.00,1.00,1.00
72,2018-03-14-04,128462,5232.88,8722.12,404.56,404.30,131.29,0.90,1.00,1.00,1.00
