 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,scanner_image_02,103360,3341.519,589.056,386.936,340.113,46.950,0.699,1.138,0.879,0.960
2,scanner_image_02,104078,5225.735,589.043,367.340,360.746,178.999,0.788,1.018,0.982,0.977
3,scanner_image_02,52078,4281.934,575.027,260.320,254.716,99.374,0.685,1.022,0.978,0.951
4,scanner_image_02,41005,2406.718,572.965,231.229,225.790,92.180,0.752,1.024,0.976,0.953
5,scanner_image_02,65072,1477.981,595.359,299.121,276.986,52.640,0.772,1.080,0.926,0.972
6,scanner_image_02,58925,537.053,611.387,296.635,252.923,98.291,0.700,1.173,0.853,0.961
7,scanner_image_02,38733,6161.569,614.929,235.378,209.520,3.252,0.719,1.123,0.890,0.955
8,scanner_image_02,120616,3818.381,1400.786,393.108,390.664,71.446,0.873,1.006,0.994,0.992
9,scanner_image_02,106826,5687.628,1405.887,394.117,345.113,97.752,0.753,1.142,0.876,0.976
10,scanner_image_02,109639,1935.906,1415.764,394.444,353.908,153.566,0.811,1.115,0.897,0.984
11,scanner_image_02,76440,2864.680,1397.360,317.803,306.248,129.701,0.649,1.038,0.964,0.929
12,scanner_image_02,37918,4727.843,1421.435,226.971,212.709,164.375,0.688,1.067,0.937,0.955
13,scanner_image_02,22686,1107.211,1428.766,187.925,153.703,19.052,0.594,1.223,0.818,0.911
14,scanner_image_02,55461,4283.074,2164.912,273.849,257.862,62.078,0.864,1.062,0.942,0.985
15,scanner_image_02,90495,561.609,2211.174,358.386,321.502,161.741,0.746,1.115,0.897,0.966
16,scanner_image_02,60203,1475.184,2207.548,281.737,272.073,72.473,0.756,1.036,0.966,0.962
17,scanner_image_02,90318,6154.830,2228.588,341.459,336.779,105.962,0.791,1.014,0.986,0.978
18,scanner_image_02,73558,2412.157,2224.329,360.007,260.153,26.874,0.796,1.384,0.723,0.980
19,scanner_image_02,34219,5242.636,2225.614,233.383,186.685,92.650,0.637,1.250,0.800,0.919
20,scanner_image_02,28995,3364.552,2227.934,211.225,174.778,22.217,0.723,1.209,0.827,0.949
21,scanner_image_02,106072,2870.975,3014.679,377.170,358.075,75.977,0.805,1.053,0.949,0.980
22,scanner_image_02,106656,4755.675,3022.424,376.978,360.230,162.771,0.696,1.046,0.956,0.960
23,scanner_image_02,91252,1019.066,3029.496,356.261,326.125,174.154,0.774,1.092,0.915,0.973
24,scanner_image_02,84668,5703.416,3033.977,336.556,320.311,19.570,0.758,1.051,0.952,0.970
25,scanner_image_02,58870,3819.641,3022.448,296.901,252.460,43.320,0.682,1.176,0.850,0.943
26,scanner_image_02,23627,1970.695,3038.174,193.155,155.744,76.426,0.758,1.240,0.806,0.963
27,scanner_image_02,105132,5221.287,3834.345,380.249,352.028,71.774,0.713,1.080,0.926,0.961
28,scanner_image_02,98180,1482.221,3828.646,379.216,329.645,39.459,0.770,1.150,0.869,0.971
