 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,2018-04-24-02,104668,5231.17,594.65,371.27,358.95,32.86,0.79,1.03,0.97,0.97
2,2018-04-24-02,92411,3331.30,598.44,361.95,325.08,42.60,0.80,1.11,0.90,0.97
3,2018-04-24-02,45398,4289.79,573.42,242.86,238.01,142.17,0.70,1.02,0.98,0.95
4,2018-04-24-02,52476,538.41,625.59,308.50,216.58,89.89,0.63,1.42,0.70,0.93
5,2018-04-24-02,32966,1465.07,581.67,217.08,193.36,73.91,0.86,1.12,0.89,0.98
6,2018-04-24-02,19852,6152.72,607.96,171.03,147.79,50.86,0.62,1.16,0.86,0.92
7,2018-04-24-02,119846,3814.18,1407.23,403.42,378.24,2.53,0.85,1.07,0.94,0.99
8,2018-04-24-02,105333,1940.39,1416.16,382.55,350.58,146.13,0.82,1.09,0.92,0.98
9,2018-04-24-02,90744,5688.81,1417.13,371.59,310.93,160.12,0.74,1.20,0.84,0.97
10,2018-04-24-02,53743,2826.77,1412.67,278.67,245.55,152.42,0.59,1.13,0.88,0.92
11,2018-04-24-02,19665,4732.73,1413.11,172.72,144.97,92.30,0.76,1.19,0.84,0.95
12,2018-04-24-02,15499,1095.55,1427.25,155.95,126.54,53.84,0.62,1.23,0.81,0.94
13,2018-04-24-02,85580,558.83,2217.70,358.94,303.57,152.06,0.73,1.18,0.85,0.97
14,2018-04-24-02,71527,2412.65,2223.35,353.69,257.49,27.42,0.79,1.37,0.73,0.98
15,2018-04-24-02,52712,1469.14,2209.84,266.38,251.95,81.88,0.76,1.06,0.95,0.96
16,2018-04-24-02,28113,5233.22,2223.89,220.14,162.60,80.17,0.64,1.35,0.74,0.93
17,2018-04-24-02,52273,6164.79,2237.94,281.69,236.27,156.46,0.70,1.19,0.84,0.95
18,2018-04-24-02,22777,3355.90,2208.99,186.84,155.22,178.54,0.76,1.20,0.83,0.96
19,2018-04-24-02,103164,2871.38,3007.66,370.43,354.60,12.26,0.70,1.04,0.96,0.95
20,2018-04-24-02,100915,4744.79,3021.09,378.97,339.04,150.76,0.64,1.12,0.89,0.92
21,2018-04-24-02,78410,1027.19,3030.30,330.00,302.53,1.60,0.70,1.09,0.92,0.95
22,2018-04-24-02,79063,5706.11,3036.52,334.13,301.28,14.14,0.79,1.11,0.90,0.98
23,2018-04-24-02,60933,3821.43,3025.52,299.38,259.15,30.65,0.63,1.16,0.87,0.93
24,2018-04-24-02,83306,1485.16,3826.85,346.80,305.85,62.32,0.75,1.13,0.88,0.97
25,2018-04-24-02,100417,3334.38,3841.07,370.90,344.72,7.65,0.75,1.08,0.93,0.97
26,2018-04-24-02,57632,5216.56,3841.93,286.04,256.53,21.44,0.78,1.12,0.90,0.97
27,2018-04-24-02,46460,4303.63,3847.05,251.77,234.96,74.42,0.73,1.07,0.93,0.94
28,2018-04-24-02,61747,6160.77,3862.53,319.60,245.99,143.21,0.48,1.30,0.77,0.85
29,2018-04-24-02,93569,3811.75,4649.58,366.48,325.08,135.40,0.76,1.13,0.89,0.97
30,2018-04-24-02,68278,5713.37,4655.87,304.79,285.22,32.49,0.67,1.07,0.94,0.93
31,2018-04-24-02,45988,1975.34,4629.13,270.56,216.42,51.72,0.83,1.25,0.80,0.99
32,2018-04-24-02,52283,1005.24,4660.68,274.04,242.91,56.81,0.75,1.13,0.89,0.96
33,2018-04-24-02,54554,2887.51,4670.76,278.49,249.42,69.66,0.52,1.12,0.90,0.91
34,2018-04-24-02,122455,545.60,5463.15,401.78,388.06,159.16,0.87,1.04,0.97,0.99
35,2018-04-24-02,101734,2431.95,5443.85,381.47,339.56,137.94,0.81,1.12,0.89,0.98
36,2018-04-24-02,71160,4307.97,5449.65,328.45,275.85,80.10,0.77,1.19,0.84,0.96
37,2018-04-24-02,88415,6164.49,5463.43,354.32,317.71,155.95,0.68,1.12,0.90,0.94
38,2018-04-24-02,35004,5236.33,5430.01,240.79,185.09,162.45,0.71,1.30,0.77,0.95
39,2018-04-24-02,39667,3319.19,5489.86,257.67,196.01,149.88,0.71,1.31,0.76,0.94
40,2018-04-24-02,79183,2896.56,6249.51,329.02,306.42,69.60,0.82,1.07,0.93,0.97
41,2018-04-24-02,90101,1010.37,6287.82,351.90,326.00,116.11,0.71,1.08,0.93,0.95
42,2018-04-24-02,56946,5688.43,6283.13,274.10,264.53,44.56,0.74,1.04,0.97,0.95
43,2018-04-24-02,50144,3822.30,6271.60,268.17,238.08,127.86,0.75,1.13,0.89,0.96
44,2018-04-24-02,74539,4765.44,6291.35,314.79,301.49,35.29,0.75,1.04,0.96,0.97
45,2018-04-24-02,93572,3345.29,7077.41,352.04,338.43,14.83,0.67,1.04,0.96,0.94
46,2018-04-24-02,65767,6116.73,7090.76,298.09,280.91,73.48,0.52,1.06,0.94,0.91
47,2018-04-24-02,77080,5221.09,7102.46,325.19,301.80,137.84,0.72,1.08,0.93,0.96
48,2018-04-24-02,58016,541.84,7089.68,276.81,266.86,35.87,0.77,1.04,0.96,0.97
49,2018-04-24-02,57687,2411.91,7081.90,280.44,261.91,43.46,0.78,1.07,0.93,0.97
50,2018-04-24-02,24147,4308.17,7062.32,203.20,151.30,125.80,0.54,1.34,0.74,0.86
51,2018-04-24-02,26636,1465.95,7084.69,195.64,173.35,16.82,0.85,1.13,0.89,0.98
52,2018-04-24-02,86238,1959.84,7869.82,357.59,307.06,165.81,0.71,1.16,0.86,0.96
53,2018-04-24-02,96957,5694.94,7897.84,360.90,342.06,176.01,0.81,1.06,0.95,0.98
54,2018-04-24-02,57077,3821.48,7886.76,270.35,268.81,171.30,0.82,1.01,0.99,0.98
55,2018-04-24-02,53207,4728.14,7899.94,275.46,245.93,4.88,0.73,1.12,0.89,0.95
56,2018-04-24-02,7366,2873.32,7967.44,99.73,94.04,140.62,0.77,1.06,0.94,0.95
57,2018-04-24-02,85175,6194.03,8696.64,348.09,311.55,35.99,0.66,1.12,0.90,0.96
58,2018-04-24-02,78111,550.45,8700.34,331.17,300.31,169.08,0.78,1.10,0.91,0.98
59,2018-04-24-02,56098,2404.29,8717.51,279.97,255.12,27.28,0.84,1.10,0.91,0.98
60,2018-04-24-02,66488,4287.92,8737.81,306.65,276.06,0.94,0.84,1.11,0.90,0.98
61,2018-04-24-02,42138,5206.93,8742.86,257.34,208.48,106.15,0.75,1.23,0.81,0.97
